Category,Check,Severity,Platform,Status,Notes,Fix_Instructions
Required Fields,Title is present for all products,Critical,All,"","","Export your feed and filter for blank title fields. In Shopify, ensure every product has a title. In WooCommerce, check for drafts or incomplete imports that lack titles."
Required Fields,Title length is between 25-150 characters,High,All,"","","Titles under 25 characters lack searchable detail. Over 150 characters get truncated in Shopping ads. Rewrite titles using the format: Brand + Product Type + Key Attributes (size, color, material)."
Required Fields,Title does not contain promotional text (sale/free shipping/etc.),High,Google,"","","Google Merchant Center will disapprove products with promotional text in titles. Remove words like 'sale', 'discount', 'free shipping', 'buy one get one', or price info from the title field."
Required Fields,Description is present for all products,Critical,All,"","","Blank descriptions result in disapprovals on Google and reduced relevance on Meta. Write at least 2-3 sentences per product describing material, use case, and key features."
Required Fields,Description length is between 100-5000 characters,Medium,All,"","","Short descriptions hurt ad relevance and organic ranking. Aim for 150-500 characters minimum. Avoid keyword stuffing. Do not duplicate the title as the entire description."
Required Fields,Description does not contain HTML tags,High,Google,"","","Google Merchant Center rejects descriptions with HTML markup. Strip all <p>, <br>, <strong>, and other tags. Use plain text only. Check your feed export settings for an option to strip HTML."
Required Fields,Price is present and greater than zero,Critical,All,"","","Zero or missing prices cause immediate disapproval. Verify your feed export includes the price field and that variant pricing is correctly mapped. Check for currency formatting issues (e.g., commas vs periods)."
Required Fields,Price includes correct currency code (ISO 4217),High,Google,"","","Google requires price in the format '29.99 USD'. Ensure your feed includes the currency code. If selling in multiple currencies, verify each regional feed has the correct local currency."
Required Fields,Availability field is present,Critical,All,"","","Must be one of: in_stock, out_of_stock, preorder, or backorder. Verify your feed maps inventory status correctly. Products without availability are disapproved."
Required Fields,Availability matches actual website stock status,Critical,All,"","","If your feed says 'in_stock' but the product page shows 'sold out', Google will disapprove the product for mismatched data. Ensure real-time or near-real-time inventory sync."
Required Fields,Image link is present and valid URL,Critical,All,"","","Every product must have at least one image. Verify URLs return HTTP 200. Check for broken CDN links, expired image hosting, or placeholder images that need replacing."
Required Fields,Link (product URL) is present and resolves correctly,Critical,All,"","","All product links must point to live, crawlable product pages. Check for 404s, redirects to the homepage, or URLs blocked by robots.txt. Ensure URL tracking parameters do not break the landing page."
Required Fields,ID is unique for every product,Critical,All,"","","Duplicate IDs cause feed processing errors. The id field must be unique per product (or per variant if submitting variants as separate items). Check for SKU collisions from multiple data sources."
Required Fields,Condition field is present (new/refurbished/used),High,Google,"","","Required for all products in Google Merchant Center. Most e-commerce products are 'new'. If selling refurbished or used goods, ensure condition is set per-product, not globally."
Google Merchant Specific,GTIN is present for manufacturer products,High,Google,"","","Google strongly prefers GTIN (UPC, EAN, ISBN). Products without GTINs get reduced visibility in Shopping results. For products without GTINs, set identifier_exists to 'no' and provide brand + MPN instead."
Google Merchant Specific,GTIN format is valid (8/12/13/14 digits with correct check digit),High,Google,"","","Invalid GTINs cause disapprovals. Verify check digit using the GS1 check digit calculator. Common issues: leading zeros stripped by spreadsheet software, UPC entered as EAN without padding."
Google Merchant Specific,Brand field is present for all branded products,High,Google,"","","Required for all products that have a brand. If you manufacture your own products, use your own brand name. Only omit brand if the product is truly unbranded (custom/handmade items)."
